date,TSLA,NVDA,META,JPM
2022-01-01,9509,2374,28614,2802
2022-01-02,11538,2465,30558,2956
2022-01-03,15224,3207,33866,3694
2022-01-04,14126,4149,37207,3727
2022-01-05,12533,4222,41820,3714
2022-01-06,12004,3744,40305,3662
2022-01-07,10944,3145,36738,3622
2022-01-08,9967,3005,33731,3257
2022-01-09,10064,2935,34337,2854
2022-01-10,10400,3257,42001,3597
2022-01-11,10302,3554,43580,4010
2022-01-12,9938,3623,40173,3784
2022-01-13,9832,3686,39812,3786
2022-01-14,9936,3379,35196,3976
2022-01-15,8858,3082,33356,3222
2022-01-16,9591,3098,33424,2978
2022-01-17,10868,3377,38799,3369
2022-01-18,10966,4289,40299,3809
2022-01-19,10471,3701,44001,3899
2022-01-20,10018,3695,41388,3737
2022-01-21,9587,3515,36484,3753
2022-01-22,8430,2960,32850,3226
2022-01-23,8510,3079,40742,3436
2022-01-24,10229,3583,44225,4177
2022-01-25,10395,4312,43656,3967
2022-01-26,11316,4467,36930,3792
2022-01-27,12804,4284,38955,4184
2022-01-28,12012,3714,36211,3917
2022-01-29,10463,3205,34093,3475
2022-01-30,9645,3023,34312,3285
2022-01-31,11651,3401,37369,3718
2022-02-01,11098,3587,37429,3823
2022-02-02,10433,3779,39876,4111
2022-02-03,11128,3761,55079,4197
2022-02-04,9833,3512,55547,4346
2022-02-05,9057,2974,40301,3354
2022-02-06,9492,2890,37372,3344
2022-02-07,10591,3347,43709,4003
2022-02-08,10870,6844,44209,5963
2022-02-09,10623,5950,41387,4245
2022-02-10,9934,4372,38498,3808
2022-02-11,10485,3584,36906,3441
2022-02-12,9234,2901,33545,5006
2022-02-13,8689,2938,33945,3238
2022-02-14,8710,3266,42376,3480
2022-02-15,9409,3798,44592,4037
2022-02-16,9469,4491,43599,4264
2022-02-17,9437,4851,43624,4405
2022-02-18,9998,4927,40592,4092
2022-02-19,9328,3198,38307,4061
2022-02-20,10576,3005,36601,3770
2022-02-21,12445,4976,44183,4499
2022-02-22,9820,3138,45082,5073
2022-02-23,9281,3524,40867,5453
2022-02-24,8487,3464,39187,3905
2022-02-25,7378,13413,37145,3534
2022-02-26,6438,4073,34953,2693
2022-02-27,7977,2942,34895,2958
2022-02-28,8480,3219,41581,4145
2022-03-01,8367,3193,38677,4010
2022-03-02,8822,3353,38496,4247
2022-03-03,8799,3119,37262,3879
2022-03-04,7656,3078,26425,3818
2022-03-05,8068,2656,23772,3335
2022-03-06,8194,2648,23250,3251
2022-03-07,8924,3025,26653,3840
2022-03-08,9248,3071,27371,3834
2022-03-09,9135,3123,27645,3706
2022-03-10,9903,2931,33318,4434
2022-03-11,10065,2647,35711,4159
2022-03-12,8319,2507,32862,3396
2022-03-13,8899,2426,30858,3500
2022-03-14,10669,2849,36487,3765
2022-03-15,10976,3178,37864,3768
2022-03-16,10045,2930,38757,3669
2022-03-17,10635,2915,37957,3791
2022-03-18,8622,2888,34806,3257
2022-03-19,8041,2490,34370,3039
2022-03-20,8859,2509,35254,3182
2022-03-21,9983,3179,41364,3647
2022-03-22,11269,3722,40317,4081
2022-03-23,11784,3989,40340,4214
2022-03-24,10675,4323,38562,4685
2022-03-25,9837,3568,35657,3884
2022-03-26,8450,2807,33057,3082
2022-03-27,8633,2673,33214,3129
2022-03-28,9692,3376,38174,3837
2022-03-29,9415,3565,38015,4056
2022-03-30,9236,3542,37874,4095
2022-03-31,8793,3095,36853,3974
2022-04-01,8827,2916,35355,3710
2022-04-02,8120,2702,33508,3058
2022-04-03,9162,2640,33630,3282
2022-04-04,16452,3083,38390,4112
2022-04-05,14881,3068,39924,4353
2022-04-06,13281,2922,40968,4219
2022-04-07,11692,3340,39035,3909
2022-04-08,12931,2905,36126,3611
2022-04-09,13637,2582,30473,3244
2022-04-10,13679,2435,30810,3337
2022-04-11,21953,2904,34174,3795
2022-04-12,14908,3135,32713,4077
2022-04-13,11754,3037,28757,4157
2022-04-14,26380,2895,33512,4381
2022-04-15,29022,2613,29577,3883
2022-04-16,20486,2400,26255,3451
2022-04-17,16367,2238,25903,3463
2022-04-18,17929,2649,28798,4025
2022-04-19,15960,3003,29349,4063
2022-04-20,15133,3289,29004,4127
2022-04-21,19437,3236,29761,4954
2022-04-22,15312,3047,28098,5229
2022-04-23,13720,2520,25168,3757
2022-04-24,14617,2711,24786,3161
2022-04-25,33931,3116,31018,3918
2022-04-26,53296,3318,34443,4008
2022-04-27,36390,3182,30455,4059
2022-04-28,31369,3036,27709,3729
2022-04-29,26245,2832,24657,3270
2022-04-30,20254,2524,21427,3055
2022-05-01,19636,2488,19076,3297
2022-05-02,18895,3015,20960,3603
2022-05-03,19043,2793,21218,3961
2022-05-04,18372,3138,22104,4506
2022-05-05,16990,2898,21299,3589
2022-05-06,14339,3227,21331,3503
2022-05-07,12526,2878,20078,3211
2022-05-08,12255,2428,19468,2993
2022-05-09,14233,2976,22834,3753
2022-05-10,12913,3271,22731,9423
2022-05-11,13716,3242,23028,16860
2022-05-12,17174,3199,22827,4013
2022-05-13,13384,2926,21268,3765
2022-05-14,11423,2422,19253,3032
2022-05-15,11463,2289,19527,2900
2022-05-16,12149,2676,22747,3647
2022-05-17,14441,2845,22355,3789
2022-05-18,13455,2907,22714,3790
2022-05-19,12658,2860,22300,3865
2022-05-20,13781,2955,21025,3455
2022-05-21,12401,2184,19120,3224
2022-05-22,11010,2324,19654,2852
2022-05-23,10956,2981,22133,4274
2022-05-24,10821,3277,23034,4011
2022-05-25,10276,3994,23138,3986
2022-05-26,9281,4022,23834,4145
2022-05-27,9223,3049,22275,3545
2022-05-28,8712,2203,21452,2956
2022-05-29,8586,2218,19074,2780
2022-05-30,8879,2595,22312,3470
2022-05-31,9154,2679,22162,3844
2022-06-01,10948,2685,24147,4500
2022-06-02,12137,2629,24760,4722
2022-06-03,12934,2630,21934,3982
2022-06-04,10899,2316,18807,3345
